,,first_year,first_year,first_year,first_year,first_year,years,years,years,years,years
,,count,min,mean,median,max,count,min,mean,median,max
element,continent,,,,,,,,,,
PRCP,Africa,2104,1850,1934.9866920152092,1929.0,2012,2104,1,62.497623574144484,66.5,163
PRCP,Antartica,55,1956,1976.290909090909,1977.0,2013,55,1,24.29090909090909,26.0,49
PRCP,Asia,5698,1881,1934.5482625482625,1941.0,2014,5698,1,47.75833625833626,56.0,139
PRCP,Europe,6703,1781,1957.054453229897,1959.0,2017,6703,1,50.294942563031476,50.0,239
PRCP,North America,74440,1836,1980.4566362170876,2002.0,2019,74440,1,22.10630037614186,10.0,180
PRCP,Oceania,17263,1832,1938.9878931819499,1938.0,2007,17263,1,48.38863465214621,37.0,181
PRCP,South America,6500,1901,1959.2312307692307,1963.0,2011,6500,1,31.72323076923077,26.0,110
SNOW,Africa,8,1945,1950.5,1951.0,1957,8,2,13.875,13.0,27
SNOW,Antartica,16,1956,1960.625,1958.0,1979,16,2,11.3125,5.0,41
SNOW,Asia,153,1945,1956.686274509804,1953.0,1998,153,1,7.26797385620915,3.0,53
SNOW,Europe,91,1949,1955.7032967032967,1954.0,1995,91,1,10.417582417582418,9.0,55
SNOW,North America,65842,1840,1981.5919777649524,2006.0,2019,65842,1,20.369490598705994,8.0,178
SNOW,Oceania,130,1913,1966.9,1961.5,2004,130,1,17.1,12.0,69
SNOW,South America,4,1945,1948.0,1947.0,1953,4,1,3.0,1.5,8
SNWD,Africa,86,1945,1990.4651162790697,1999.0,2017,86,1,10.965116279069768,1.0,38
SNWD,Antartica,37,1956,1977.8648648648648,1976.0,2019,37,1,17.027027027027028,8.0,47
SNWD,Asia,995,1946,1978.561809045226,1973.0,2019,995,1,22.445226130653268,19.0,53
SNWD,Europe,4658,1863,1967.8366251610132,1973.0,2018,4658,1,41.24259338772005,44.0,157
SNWD,North America,52549,1857,1980.1846276808312,2001.0,2019,52549,1,21.297798245447108,8.0,163
SNWD,Oceania,130,1913,1969.9384615384615,1965.5,2004,130,1,16.96923076923077,12.0,69
SNWD,South America,106,1949,1992.2735849056603,1991.0,2018,106,1,17.18867924528302,16.0,41
TMAX,Africa,690,1852,1962.6478260869565,1964.5,2018,690,1,45.87101449275362,46.0,163
TMAX,Antartica,61,1953,1975.9344262295083,1976.0,2011,61,2,30.557377049180328,33.0,67
TMAX,Asia,1609,1869,1962.3654443753885,1959.0,2019,1609,1,48.048477315102545,55.0,151
TMAX,Europe,4521,1763,1961.9484627294846,1959.0,2017,4521,1,46.12585711125857,47.0,246
TMAX,North America,30949,1840,1956.5919415813112,1962.0,2019,30949,1,35.776309412258875,25.0,164
TMAX,Oceania,1801,1855,1970.5252637423653,1968.0,2016,1801,1,30.37257079400333,24.0,161
TMAX,South America,463,1908,1975.3455723542118,1974.0,2014,463,1,35.74946004319654,39.0,112
TMIN,Africa,688,1852,1962.4622093023256,1964.5,2014,688,1,46.40406976744186,47.0,163
TMIN,Antartica,63,1953,1976.7142857142858,1976.0,2011,63,1,29.61904761904762,32.0,67
TMIN,Asia,1609,1869,1962.1597265382225,1959.0,2019,1609,1,48.1858297078931,56.0,151
TMIN,Europe,4522,1763,1961.5942061034941,1959.0,2017,4522,1,46.47434763379036,47.0,246
TMIN,North America,30838,1840,1956.5711784162397,1962.0,2019,30838,1,35.89318373435372,26.0,164
TMIN,Oceania,1799,1855,1970.4669260700389,1967.0,2016,1799,1,30.44580322401334,24.0,161
TMIN,South America,467,1908,1975.1070663811563,1973.0,2017,467,1,36.46680942184154,41.0,112
